29.06.2026 01:47:11 | Fire=0 | Smoke=1
29.06.2026 01:47:11 | Fire=0 | Smoke=1
29.06.2026 01:47:11 | Fire=0 | Smoke=1
29.06.2026 01:47:11 | Fire=0 | Smoke=2
29.06.2026 01:47:11 | Fire=0 | Smoke=1
29.06.2026 01:47:12 | Fire=0 | Smoke=1
29.06.2026 01:47:12 | Fire=0 | Smoke=1
29.06.2026 01:47:12 | Fire=0 | Smoke=2
29.06.2026 01:47:12 | Fire=0 | Smoke=2
29.06.2026 01:47:12 | Fire=0 | Smoke=1
29.06.2026 01:47:12 | Fire=0 | Smoke=1
29.06.2026 01:47:12 | Fire=0 | Smoke=1
29.06.2026 01:47:12 | Fire=0 | Smoke=2
29.06.2026 01:47:12 | Fire=0 | Smoke=1
29.06.2026 01:47:12 | Fire=0 | Smoke=2
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=2
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:13 | Fire=0 | Smoke=1
29.06.2026 01:47:14 | Fire=0 | Smoke=1
29.06.2026 01:47:14 | Fire=0 | Smoke=2
29.06.2026 01:47:14 | Fire=0 | Smoke=1
29.06.2026 01:47:14 | Fire=0 | Smoke=1
29.06.2026 01:47:14 | Fire=0 | Smoke=1
29.06.2026 01:47:14 | Fire=0 | Smoke=2
29.06.2026 01:47:14 | Fire=1 | Smoke=2
29.06.2026 01:47:14 | Fire=0 | Smoke=2
29.06.2026 01:47:14 | Fire=1 | Smoke=2
29.06.2026 01:47:14 | Fire=1 | Smoke=1
29.06.2026 01:47:14 | Fire=1 | Smoke=2
29.06.2026 01:47:14 | Fire=1 | Smoke=2
29.06.2026 01:47:14 | Fire=1 | Smoke=1
29.06.2026 01:47:15 | Fire=1 | Smoke=2
29.06.2026 01:47:15 | Fire=1 | Smoke=2
29.06.2026 01:47:15 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=0 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=1 | Smoke=2
29.06.2026 01:47:16 | Fire=0 | Smoke=2
29.06.2026 01:47:16 | Fire=0 | Smoke=1
29.06.2026 01:47:16 | Fire=1 | Smoke=1
29.06.2026 01:47:17 | Fire=0 | Smoke=1
29.06.2026 01:47:17 | Fire=0 | Smoke=2
29.06.2026 01:47:17 | Fire=0 | Smoke=1
29.06.2026 01:47:17 | Fire=1 | Smoke=1
29.06.2026 01:47:17 | Fire=0 | Smoke=2
29.06.2026 01:47:17 | Fire=0 | Smoke=1
29.06.2026 01:47:17 | Fire=0 | Smoke=2
29.06.2026 01:47:17 | Fire=1 | Smoke=0
29.06.2026 01:47:17 | Fire=0 | Smoke=2
29.06.2026 01:47:17 | Fire=0 | Smoke=1
29.06.2026 01:47:17 | Fire=0 | Smoke=2
29.06.2026 01:47:17 | Fire=0 | Smoke=1
29.06.2026 01:47:18 | Fire=0 | Smoke=2
29.06.2026 01:47:18 | Fire=0 | Smoke=1
29.06.2026 01:47:18 | Fire=0 | Smoke=1
29.06.2026 01:47:18 | Fire=0 | Smoke=1
29.06.2026 01:47:18 | Fire=0 | Smoke=2
29.06.2026 01:47:18 | Fire=0 | Smoke=2
29.06.2026 01:47:18 | Fire=1 | Smoke=2
